Student ID,Gender,Project Phase 1,Project Phase 2,Mid-Semester Test,Final Exam,Grade
101,Male,18.25,15.5,94,61,PA
102,Female,17.75,30,79,62,PA
103,Male,0,0,78,15,NN
104,Male,20,25,69,65,PA
105,Male,18.75,30,96,51,PA
106,Male,17,23.5,80,59,PA
107,,19.75,19.5,82,76,PA
108,Male,20,28,95,44,PA
109,M,18,23,50,33,NN
110,Female,20,30,92,63,PA
111,Female,19.5,13,95,52,PA
112,Female,0,,100,,PA
113,Female,0,,67,,NN
114,Male,20,22.75,85,78,PA
115,Male,19.5,26,100,79,PA
116,Female,20,25.5,97,52,PA
117,,15.75,10,81,34,NN
118,Male,12.5,10,30,22,NN
119,Male,17.5,20,61,31,NN
120,Male,14.5,23.5,54,58,PA
121,Female,17.75,30,56,46,PA
122,Female,20,23,37,25,NN
123,Male,19.75,30,74,61,PA
124,Male,20,30,90,71,PA
125,,20,29.5,70,62,PA
126,Female,20,22.5,83,56,PA
127,Female,20,35,84,83,PA
128,Female,20,30,84,91,PA
129,Male,20,30,64,86,PA
130,Male,19.5,13,62,39,NN
131,Male,0,,60,,NN
132,Female,17.5,20,42,47,NN
133,F,20,28,58,74,PA
134,Male,20,15.5,46,76,PA
135,Male,20,30,61,6,NN
136,Male,18.5,22,26,68,PA
137,Female,20,26,89,63,PA
138,Male,18.75,30,59,52,PA
139,Male,19,30,70,,PA
140,Male,20,29,84,77,PA
